date,t1M_ATM,t1M_BF10,t1M_BF25,t1M_C10,t1M_C25,t1M_P10,t1M_P25,t1M_RR10,t1M_RR25,t1Y_ATM,t1Y_BF10,t1Y_BF25,t1Y_C10,t1Y_C25,t1Y_P10,t1Y_P25,t1Y_RR10,t1Y_RR25,t3M_ATM,t3M_BF10,t3M_BF25,t3M_C10,t3M_C25,t3M_P10,t3M_P25,t3M_RR10,t3M_RR25,t6M_ATM,t6M_BF10,t6M_BF25,t6M_C10,t6M_C25,t6M_P10,t6M_P25,t6M_RR10,t6M_RR25
2008-07-01,12.930000,1.945000,0.410000,11.637500,11.555000,18.112500,15.125000,-6.475000,-3.570000,13.080000,2.995000,0.550000,10.551250,10.771250,21.598750,16.488750,-11.047500,-5.717500,13.040000,2.185000,0.455000,11.325000,11.358750,19.125000,15.631250,-7.800000,-4.272500,13.017500,2.597500,0.507500,10.966250,11.017500,20.263750,16.032500,-9.297500,-5.015000
2008-07-02,12.650000,1.875000,0.425000,11.405000,11.355000,17.645000,14.795000,-6.240000,-3.440000,12.920000,3.045000,0.625000,10.481250,10.697500,21.448750,16.392500,-10.967500,-5.695000,12.910000,2.175000,0.490000,11.240000,11.310000,18.930000,15.490000,-7.690000,-4.180000,12.912500,2.637500,0.567500,10.941250,11.005000,20.158750,15.955000,-9.217500,-4.950000
2008-07-03,12.272500,1.930000,0.405000,11.083750,10.958750,17.321250,14.396250,-6.237500,-3.437500,12.880000,3.040000,0.545000,10.347500,10.555000,21.492500,16.295000,-11.145000,-5.740000,12.652500,2.192500,0.452500,10.967500,10.991250,18.722500,15.218750,-7.755000,-4.227500,12.752500,2.617500,0.497500,10.728750,10.757500,20.011250,15.742500,-9.282500,-4.985000
2008-07-04,11.610000,1.870000,0.385000,10.586250,10.422500,16.373750,13.567500,-5.787500,-3.145000,12.690000,3.100000,0.580000,10.416250,10.458750,21.163750,16.081250,-10.747500,-5.622500,12.120000,2.150000,0.445000,10.622500,10.582500,17.917500,14.547500,-7.295000,-3.965000,12.467500,2.642500,0.517500,10.643750,10.580000,19.576250,15.390000,-8.932500,-4.810000
2008-07-07,11.715000,1.875000,0.415000,10.896250,10.627500,16.283750,13.632500,-5.387500,-3.005000,12.605000,3.035000,0.610000,10.298750,10.423750,20.981250,16.006250,-10.682500,-5.582500,12.075000,2.200000,0.475000,10.722500,10.607500,17.827500,14.492500,-7.105000,-3.885000,12.342500,2.632500,0.552500,10.561250,10.510000,19.388750,15.280000,-8.827500,-4.770000
2008-07-08,11.752500,1.882500,0.362500,10.945000,10.548750,16.325000,13.681250,-5.380000,-3.132500,12.620000,3.147500,0.535000,10.392500,10.337500,21.142500,15.972500,-10.750000,-5.635000,12.250000,2.257500,0.410000,10.852500,10.682500,18.162500,14.637500,-7.310000,-3.955000,12.422500,2.737500,0.472500,10.647500,10.478750,19.672500,15.311250,-9.025000,-4.832500
2008-07-09,11.760000,1.890000,0.400000,10.762500,10.562500,16.537500,13.757500,-5.775000,-3.195000,12.557500,2.997500,0.547500,10.118750,10.278750,20.991250,15.931250,-10.872500,-5.652500,12.285000,2.145000,0.440000,10.752500,10.722500,18.107500,14.727500,-7.355000,-4.005000,12.437500,2.567500,0.497500,10.483750,10.500000,19.526250,15.370000,-9.042500,-4.870000
2008-07-10,11.525000,1.847500,0.382500,10.536250,10.346250,16.208750,13.468750,-5.672500,-3.122500,12.555000,3.130000,0.575000,10.301250,10.311250,21.068750,15.948750,-10.767500,-5.637500,12.240000,2.172500,0.435000,10.782500,10.692500,18.042500,14.657500,-7.260000,-3.965000,12.405000,2.685000,0.510000,10.597500,10.490000,19.582500,15.340000,-8.985000,-4.850000
2008-07-11,11.635000,1.897500,0.362500,10.601250,10.373750,16.463750,13.621250,-5.862500,-3.247500,12.617500,3.110000,0.535000,10.285000,10.316250,21.170000,15.988750,-10.885000,-5.672500,12.217500,2.207500,0.417500,10.752500,10.626250,18.097500,14.643750,-7.345000,-4.017500,12.442500,2.680000,0.487500,10.575000,10.477500,19.670000,15.382500,-9.095000,-4.905000
2008-07-14,12.045000,1.875000,0.355000,11.112500,10.767500,16.727500,14.032500,-5.615000,-3.265000,12.715000,3.130000,0.515000,10.460000,10.393750,21.230000,16.066250,-10.770000,-5.672500,12.350000,2.240000,0.400000,10.887500,10.702500,18.292500,14.797500,-7.405000,-4.095000,12.540000,2.735000,0.460000,10.730000,10.550000,19.820000,15.450000,-9.090000,-4.900000
2008-07-15,12.590000,1.855000,0.370000,10.977500,11.055000,17.912500,14.865000,-6.935000,-3.810000,12.915000,3.095000,0.565000,10.360000,10.525000,21.660000,16.435000,-11.300000,-5.910000,12.690000,2.100000,0.425000,10.690000,10.882500,18.890000,15.347500,-8.200000,-4.465000,12.835000,2.610000,0.500000,10.595000,10.726250,20.295000,15.943750,-9.700000,-5.217500
2008-07-16,12.600000,1.910000,0.380000,10.927500,11.011250,18.092500,14.948750,-7.165000,-3.937500,12.927500,3.162500,0.577500,10.397500,10.526250,21.782500,16.483750,-11.385000,-5.957500,12.750000,2.180000,0.435000,10.732500,10.902500,19.127500,15.467500,-8.395000,-4.565000,12.922500,2.717500,0.522500,10.710000,10.791250,20.570000,16.098750,-9.860000,-5.307500
2008-07-17,11.950000,1.850000,0.370000,10.397500,10.465000,17.202500,14.175000,-6.805000,-3.710000,12.735000,3.140000,0.580000,10.283750,10.385000,21.466250,16.245000,-11.182500,-5.860000,12.285000,2.160000,0.440000,10.340000,10.495000,18.550000,14.955000,-8.210000,-4.460000,12.685000,2.690000,0.525000,10.532500,10.601250,20.217500,15.818750,-9.685000,-5.217500
2008-07-18,11.385000,1.830000,0.360000,10.095000,10.025000,16.335000,13.465000,-6.240000,-3.440000,12.510000,3.140000,0.575000,10.190000,10.217500,21.110000,15.952500,-10.920000,-5.735000,11.835000,2.190000,0.435000,10.127500,10.150000,17.922500,14.390000,-7.795000,-4.240000,12.365000,2.705000,0.510000,10.420000,10.367500,19.720000,15.382500,-9.300000,-5.015000
2008-07-21,11.465000,1.945000,0.350000,10.555000,10.155000,16.265000,13.475000,-5.710000,-3.320000,12.432500,3.072500,0.472500,10.165000,10.128750,20.845000,15.681250,-10.680000,-5.552500,11.795000,2.300000,0.390000,10.292500,10.122500,17.897500,14.247500,-7.605000,-4.125000,12.257500,2.697500,0.432500,10.487500,10.297500,19.422500,15.082500,-8.935000,-4.785000
2008-07-22,11.305000,1.830000,0.375000,10.235000,10.062500,16.035000,13.297500,-5.800000,-3.235000,12.460000,3.160000,0.580000,10.320000,10.243750,20.920000,15.836250,-10.600000,-5.592500,11.810000,2.180000,0.435000,10.260000,10.202500,17.720000,14.287500,-7.460000,-4.085000,12.265000,2.725000,0.520000,10.527500,10.372500,19.452500,15.197500,-8.925000,-4.825000
2008-07-23,11.070000,1.850000,0.365000,9.945000,9.807500,15.895000,13.062500,-5.950000,-3.255000,12.405000,3.135000,0.575000,10.300000,10.217500,20.780000,15.742500,-10.480000,-5.525000,11.640000,2.170000,0.430000,10.087500,10.040000,17.532500,14.100000,-7.445000,-4.060000,12.125000,2.695000,0.515000,10.412500,10.257500,19.227500,15.022500,-8.815000,-4.765000
2008-07-24,11.205000,1.815000,0.370000,9.970000,9.920000,16.070000,13.230000,-6.100000,-3.310000,12.335000,3.150000,0.590000,10.223750,10.150000,20.746250,15.700000,-10.522500,-5.550000,11.610000,2.145000,0.435000,9.972500,9.992500,17.537500,14.097500,-7.565000,-4.105000,12.045000,2.675000,0.520000,10.280000,10.170000,19.160000,14.960000,-8.880000,-4.790000
2008-07-25,11.325000,1.850000,0.340000,9.955000,9.915000,16.395000,13.415000,-6.440000,-3.500000,12.415000,3.150000,0.530000,10.125000,10.102500,21.005000,15.787500,-10.880000,-5.685000,11.800000,2.165000,0.405000,10.027500,10.062500,17.902500,14.347500,-7.875000,-4.285000,12.185000,2.655000,0.485000,10.188750,10.165000,19.491250,15.175000,-9.302500,-5.010000
2008-07-28,11.017500,1.875000,0.357500,10.007500,9.697500,15.777500,13.052500,-5.770000,-3.355000,12.225000,3.080000,0.490000,9.902500,9.896250,20.707500,15.533750,-10.805000,-5.637500,11.505000,2.225000,0.397500,10.042500,9.855000,17.417500,13.950000,-7.375000,-4.095000,11.967500,2.685000,0.447500,10.130000,9.971250,19.175000,14.858750,-9.045000,-4.887500
