date,t1M_ATM,t1M_BF10,t1M_BF25,t1M_C10,t1M_C25,t1M_P10,t1M_P25,t1M_RR10,t1M_RR25,t1Y_ATM,t1Y_BF10,t1Y_BF25,t1Y_C10,t1Y_C25,t1Y_P10,t1Y_P25,t1Y_RR10,t1Y_RR25,t3M_ATM,t3M_BF10,t3M_BF25,t3M_C10,t3M_C25,t3M_P10,t3M_P25,t3M_RR10,t3M_RR25,t6M_ATM,t6M_BF10,t6M_BF25,t6M_C10,t6M_C25,t6M_P10,t6M_P25,t6M_RR10,t6M_RR25
2008-07-01,13.860000,1.555000,0.455000,11.775000,12.322500,19.055000,16.307500,-7.280000,-3.985000,14.710000,2.550000,0.495000,11.585000,12.085000,22.935000,18.325000,-11.350000,-6.240000,14.307500,1.957500,0.472500,11.932500,12.396250,20.597500,17.163750,-8.665000,-4.767500,14.650000,2.235000,0.480000,11.791250,12.328750,21.978750,17.931250,-10.187500,-5.602500
2008-07-02,13.700000,1.535000,0.445000,11.660000,12.178750,18.810000,16.111250,-7.150000,-3.932500,14.735000,2.535000,0.480000,11.600000,12.097500,22.940000,18.332500,-11.340000,-6.235000,14.282500,1.922500,0.462500,11.895000,12.373750,20.515000,17.116250,-8.620000,-4.742500,14.680000,2.210000,0.470000,11.821250,12.363750,21.958750,17.936250,-10.137500,-5.572500
2008-07-03,13.165000,1.525000,0.435000,11.151250,11.648750,18.228750,15.551250,-7.077500,-3.902500,14.625000,2.520000,0.470000,11.470000,11.977500,22.820000,18.212500,-11.350000,-6.235000,13.907500,1.902500,0.452500,11.483750,11.973750,20.136250,16.746250,-8.652500,-4.772500,14.445000,2.190000,0.460000,11.555000,12.110000,21.715000,17.700000,-10.160000,-5.590000
2008-07-04,12.955000,1.530000,0.435000,11.082500,11.555000,17.887500,15.225000,-6.805000,-3.670000,14.465000,2.495000,0.475000,11.397500,11.860000,22.522500,18.020000,-11.125000,-6.160000,13.692500,1.897500,0.452500,11.421250,11.868750,19.758750,16.421250,-8.337500,-4.552500,14.180000,2.175000,0.460000,11.392500,11.913750,21.317500,17.366250,-9.925000,-5.452500
2008-07-07,12.965000,1.600000,0.465000,11.410000,11.725000,17.720000,15.135000,-6.310000,-3.410000,14.330000,2.585000,0.525000,11.337500,11.780000,22.492500,17.930000,-11.155000,-6.150000,13.472500,2.012500,0.482500,11.505000,11.783750,19.465000,16.126250,-7.960000,-4.342500,14.020000,2.265000,0.495000,11.416250,11.846250,21.153750,17.183750,-9.737500,-5.337500
2008-07-08,13.125000,1.540000,0.405000,11.411250,11.725000,17.918750,15.335000,-6.507500,-3.610000,14.395000,2.500000,0.465000,11.290000,11.780000,22.500000,17.940000,-11.210000,-6.160000,13.557500,1.917500,0.432500,11.440000,11.756250,19.510000,16.223750,-8.070000,-4.467500,14.125000,2.160000,0.445000,11.338750,11.842500,21.231250,17.297500,-9.892500,-5.455000
2008-07-09,13.120000,1.600000,0.445000,11.443750,11.792500,17.996250,15.337500,-6.552500,-3.545000,14.220000,2.565000,0.515000,11.177500,11.650000,22.392500,17.820000,-11.215000,-6.170000,13.610000,2.005000,0.470000,11.590000,11.851250,19.640000,16.308750,-8.050000,-4.457500,14.040000,2.225000,0.485000,11.331250,11.805000,21.198750,17.245000,-9.867500,-5.440000
2008-07-10,13.025000,1.550000,0.420000,11.296250,11.662500,17.853750,15.227500,-6.557500,-3.565000,14.205000,2.505000,0.485000,11.137500,11.617500,22.282500,17.762500,-11.145000,-6.145000,13.605000,1.945000,0.445000,11.526250,11.820000,19.573750,16.280000,-8.047500,-4.460000,14.030000,2.175000,0.460000,11.280000,11.768750,21.130000,17.211250,-9.850000,-5.442500
2008-07-11,13.060000,1.570000,0.430000,11.218750,11.633750,18.041250,15.346250,-6.822500,-3.712500,14.215000,2.500000,0.495000,11.125000,11.625000,22.305000,17.795000,-11.180000,-6.170000,13.645000,1.955000,0.450000,11.500000,11.811250,19.700000,16.378750,-8.200000,-4.567500,14.070000,2.180000,0.470000,11.272500,11.780000,21.227500,17.300000,-9.955000,-5.520000
2008-07-14,13.165000,1.440000,0.365000,11.191250,11.712500,18.018750,15.347500,-6.827500,-3.635000,14.365000,2.350000,0.415000,11.243750,11.725000,22.186250,17.835000,-10.942500,-6.110000,13.540000,1.785000,0.385000,11.150000,11.635000,19.500000,16.215000,-8.350000,-4.580000,14.160000,2.040000,0.390000,11.250000,11.810000,21.150000,17.290000,-9.900000,-5.480000
2008-07-15,13.790000,1.555000,0.405000,11.511250,12.147500,19.178750,16.242500,-7.667500,-4.095000,14.510000,2.480000,0.465000,11.307500,11.807500,22.672500,18.142500,-11.365000,-6.335000,14.010000,1.915000,0.425000,11.448750,11.972500,20.401250,16.897500,-8.952500,-4.925000,14.395000,2.140000,0.440000,11.355000,11.962500,21.715000,17.707500,-10.360000,-5.745000
2008-07-16,13.270000,1.460000,0.345000,11.101250,11.651250,18.358750,15.578750,-7.257500,-3.927500,14.200000,2.475000,0.380000,11.388750,11.640000,21.961250,17.520000,-10.572500,-5.880000,13.655000,1.830000,0.360000,11.407500,11.771250,19.562500,16.258750,-8.155000,-4.487500,14.090000,2.120000,0.365000,11.682500,11.948750,20.737500,16.961250,-9.055000,-5.012500
2008-07-17,12.975000,1.445000,0.335000,10.986250,11.443750,17.853750,15.176250,-6.867500,-3.732500,14.085000,2.465000,0.365000,11.396250,11.580000,21.703750,17.320000,-10.307500,-5.740000,13.510000,1.810000,0.355000,11.321250,11.656250,19.318750,16.073750,-7.997500,-4.417500,13.905000,2.110000,0.355000,11.595000,11.795000,20.435000,16.725000,-8.840000,-4.930000
2008-07-18,12.560000,1.475000,0.350000,10.581250,11.097500,17.488750,14.722500,-6.907500,-3.625000,14.010000,2.360000,0.405000,11.315000,11.562500,21.425000,17.267500,-10.110000,-5.705000,13.280000,1.800000,0.365000,11.133750,11.453750,19.026250,15.836250,-7.892500,-4.382500,13.795000,2.030000,0.380000,11.542500,11.727500,20.107500,16.622500,-8.565000,-4.895000
2008-07-21,12.535000,1.360000,0.300000,10.660000,11.100000,17.130000,14.570000,-6.470000,-3.470000,13.945000,2.315000,0.315000,11.327500,11.497500,21.192500,17.022500,-9.865000,-5.525000,13.185000,1.710000,0.310000,11.138750,11.408750,18.651250,15.581250,-7.512500,-4.172500,13.760000,1.955000,0.315000,11.632500,11.767500,19.797500,16.382500,-8.165000,-4.615000
2008-07-22,12.375000,1.365000,0.315000,10.606250,11.036250,16.873750,14.343750,-6.267500,-3.307500,13.935000,2.305000,0.335000,11.370000,11.512500,21.110000,17.027500,-9.740000,-5.515000,13.120000,1.715000,0.320000,11.196250,11.441250,18.473750,15.438750,-7.277500,-3.997500,13.685000,1.960000,0.320000,11.575000,11.702500,19.715000,16.307500,-8.140000,-4.605000
2008-07-23,12.325000,1.395000,0.330000,10.566250,11.003750,16.873750,14.306250,-6.307500,-3.302500,13.935000,2.335000,0.360000,11.485000,11.575000,21.055000,17.015000,-9.570000,-5.440000,13.105000,1.750000,0.335000,11.256250,11.466250,18.453750,15.413750,-7.197500,-3.947500,13.665000,1.985000,0.340000,11.652500,11.747500,19.647500,16.262500,-7.995000,-4.515000
2008-07-24,12.095000,1.355000,0.315000,10.388750,10.795000,16.511250,14.025000,-6.122500,-3.230000,13.845000,2.285000,0.335000,11.411250,11.485000,20.848750,16.875000,-9.437500,-5.390000,13.045000,1.700000,0.320000,11.198750,11.412500,18.291250,15.317500,-7.092500,-3.905000,13.580000,1.945000,0.320000,11.642500,11.700000,19.407500,16.100000,-7.765000,-4.400000
2008-07-25,12.355000,1.370000,0.315000,10.420000,10.933750,17.030000,14.406250,-6.610000,-3.472500,13.880000,2.270000,0.345000,11.332500,11.462500,20.967500,16.987500,-9.635000,-5.525000,13.130000,1.700000,0.325000,11.021250,11.333750,18.638750,15.576250,-7.617500,-4.242500,13.655000,1.940000,0.330000,11.500000,11.655000,19.690000,16.315000,-8.190000,-4.660000
2008-07-28,11.737500,1.167500,0.220000,9.988750,10.381250,15.821250,13.533750,-5.832500,-3.152500,13.712500,2.202500,0.207500,11.266250,11.302500,20.563750,16.537500,-9.297500,-5.235000,12.805000,1.550000,0.227500,10.968750,11.156250,17.741250,14.908750,-6.772500,-3.752500,13.540000,1.832500,0.222500,11.611250,11.655000,19.133750,15.870000,-7.522500,-4.215000
2008-07-29,11.790000,1.167500,0.235000,10.136250,10.491250,15.778750,13.558750,-5.642500,-3.067500,13.740000,2.215000,0.217500,11.346250,11.360000,20.563750,16.555000,-9.217500,-5.195000,12.785000,1.555000,0.227500,11.008750,11.156250,17.671250,14.868750,-6.662500,-3.712500,13.412500,1.842500,0.222500,11.501250,11.520000,19.008750,15.750000,-7.507500,-4.230000
2008-07-30,12.517500,1.177500,0.227500,10.333750,10.916250,17.056250,14.573750,-6.722500,-3.657500,13.680000,2.215000,0.215000,10.862500,11.060000,20.927500,16.730000,-10.065000,-5.670000,13.090000,1.560000,0.230000,10.817500,11.186250,18.482500,15.453750,-7.665000,-4.267500,13.467500,1.842500,0.222500,11.011250,11.272500,19.608750,16.107500,-8.597500,-4.835000
2008-07-31,12.222500,1.177500,0.230000,10.021250,10.618750,16.778750,14.286250,-6.757500,-3.667500,13.710000,2.215000,0.215000,10.883750,11.097500,20.966250,16.752500,-10.082500,-5.655000,13.137500,1.557500,0.230000,10.848750,11.236250,18.541250,15.498750,-7.692500,-4.262500,13.485000,1.842500,0.222500,11.011250,11.291250,19.643750,16.123750,-8.632500,-4.832500
2008-08-01,12.435000,1.180000,0.235000,9.986250,10.698750,17.243750,14.641250,-7.257500,-3.942500,13.787500,2.215000,0.215000,10.870000,11.120000,21.135000,16.885000,-10.265000,-5.765000,13.242500,1.557500,0.230000,10.743750,11.221250,18.856250,15.723750,-8.112500,-4.502500,13.572500,1.842500,0.225000,10.928750,11.288750,19.901250,16.306250,-8.972500,-5.017500
2008-08-04,12.642500,1.122500,0.200000,10.260000,10.933750,17.270000,14.751250,-7.010000,-3.817500,13.895000,2.157500,0.175000,10.976250,11.223750,21.128750,16.916250,-10.152500,-5.692500,13.385000,1.500000,0.202500,10.917500,11.376250,18.852500,15.798750,-7.935000,-4.422500,13.715000,1.785000,0.192500,11.103750,11.450000,19.896250,16.365000,-8.792500,-4.915000
2008-08-05,13.292500,1.122500,0.205000,10.951250,11.608750,17.878750,15.386250,-6.927500,-3.777500,14.060000,2.155000,0.175000,11.137500,11.388750,21.292500,17.081250,-10.155000,-5.692500,13.850000,1.500000,0.202500,11.386250,11.840000,19.313750,16.265000,-7.927500,-4.425000,13.932500,1.785000,0.195000,11.321250,11.670000,20.113750,16.585000,-8.792500,-4.915000
2008-08-06,13.345000,1.122500,0.205000,11.276250,11.808750,17.658750,15.291250,-6.382500,-3.482500,14.122500,2.157500,0.175000,11.311250,11.507500,21.248750,17.087500,-9.937500,-5.580000,13.880000,1.500000,0.202500,11.600000,11.978750,19.160000,16.186250,-7.560000,-4.207500,14.062500,1.787500,0.195000,11.563750,11.860000,20.136250,16.655000,-8.572500,-4.795000
2008-08-07,12.900000,1.122500,0.205000,11.110000,11.518750,16.935000,14.691250,-5.825000,-3.172500,13.920000,2.080000,0.175000,11.186250,11.385000,20.813750,16.805000,-9.627500,-5.420000,13.520000,1.500000,0.202500,11.432500,11.730000,18.607500,15.715000,-7.175000,-3.985000,13.712500,1.700000,0.192500,11.316250,11.611250,19.508750,16.198750,-8.192500,-4.587500
2008-08-08,14.067500,1.127500,0.205000,12.443750,12.766250,17.946250,15.778750,-5.502500,-3.012500,14.127500,2.077500,0.175000,11.457500,11.632500,20.952500,16.972500,-9.495000,-5.340000,14.002500,1.502500,0.205000,12.071250,12.297500,18.938750,16.117500,-6.867500,-3.820000,14.040000,1.695000,0.192500,11.711250,11.978750,19.758750,16.486250,-8.047500,-4.507500
2008-08-11,14.707500,1.042500,0.205000,12.905000,13.343750,18.595000,16.481250,-5.690000,-3.137500,14.422500,2.077500,0.175000,11.731250,11.915000,21.268750,17.280000,-9.537500,-5.365000,14.535000,1.415000,0.202500,12.502500,12.810000,19.397500,16.665000,-6.895000,-3.855000,14.450000,1.695000,0.192500,12.101250,12.371250,20.188750,16.913750,-8.087500,-4.542500
2008-08-12,15.105000,1.565000,0.420000,13.060000,13.542500,20.280000,17.507500,-7.220000,-3.965000,14.885000,2.515000,0.475000,11.895000,12.325000,22.905000,18.395000,-11.010000,-6.070000,15.090000,1.930000,0.440000,12.746250,13.161250,21.293750,17.898750,-8.547500,-4.737500,14.950000,2.135000,0.455000,12.301250,12.751250,21.868750,18.058750,-9.567500,-5.307500
2008-08-13,15.830000,1.525000,0.395000,13.501250,14.133750,21.208750,18.316250,-7.707500,-4.182500,15.100000,2.445000,0.440000,12.020000,12.490000,23.070000,18.590000,-11.050000,-6.100000,15.490000,1.880000,0.415000,12.923750,13.451250,21.816250,18.358750,-8.892500,-4.907500,15.240000,2.080000,0.425000,12.417500,12.950000,22.222500,18.380000,-9.805000,-5.430000
2008-08-14,15.835000,1.530000,0.395000,13.643750,14.203750,21.086250,18.256250,-7.442500,-4.052500,15.320000,2.460000,0.445000,12.302500,12.742500,23.257500,18.787500,-10.955000,-6.045000,15.725000,1.885000,0.420000,13.268750,13.750000,21.951250,18.540000,-8.682500,-4.790000,15.485000,2.090000,0.425000,12.697500,13.210000,22.452500,18.610000,-9.755000,-5.400000
2008-08-15,15.880000,1.445000,0.365000,13.715000,14.293750,20.935000,18.196250,-7.220000,-3.902500,15.350000,2.355000,0.395000,12.390000,12.787500,23.020000,18.702500,-10.630000,-5.915000,15.700000,1.790000,0.380000,13.285000,13.757500,21.695000,18.402500,-8.410000,-4.645000,15.475000,2.000000,0.385000,12.770000,13.242500,22.180000,18.477500,-9.410000,-5.235000
2008-08-18,15.815000,1.395000,0.340000,13.772500,14.300000,20.647500,18.010000,-6.875000,-3.710000,15.400000,2.345000,0.365000,12.562500,12.887500,22.927500,18.642500,-10.365000,-5.755000,15.535000,1.755000,0.355000,13.170000,13.626250,21.410000,18.153750,-8.240000,-4.527500,15.390000,1.975000,0.360000,12.855000,13.248750,21.875000,18.251250,-9.020000,-5.002500
2008-08-19,15.565000,1.395000,0.345000,13.457500,14.031250,20.462500,17.788750,-7.005000,-3.757500,15.260000,2.325000,0.370000,12.400000,12.736250,22.770000,18.523750,-10.370000,-5.787500,15.390000,1.745000,0.360000,13.088750,13.526250,21.181250,17.973750,-8.092500,-4.447500,15.260000,1.960000,0.365000,12.701250,13.110000,21.738750,18.140000,-9.037500,-5.030000
2008-08-20,15.495000,1.285000,0.315000,13.068750,13.752500,20.491250,17.867500,-7.422500,-4.115000,15.310000,2.140000,0.310000,12.117500,12.607500,22.782500,18.632500,-10.665000,-6.025000,15.365000,1.600000,0.320000,12.755000,13.302500,21.175000,18.067500,-8.420000,-4.765000,15.240000,1.815000,0.315000,12.356250,12.872500,21.753750,18.237500,-9.397500,-5.365000
2008-08-21,15.630000,1.300000,0.325000,13.103750,13.846250,20.756250,18.063750,-7.652500,-4.217500,15.430000,2.135000,0.320000,12.112500,12.667500,23.017500,18.832500,-10.905000,-6.165000,15.550000,1.605000,0.330000,12.877500,13.468750,21.432500,18.291250,-8.555000,-4.822500,15.515000,1.820000,0.325000,12.567500,13.122500,22.102500,18.557500,-9.535000,-5.435000
2008-08-22,15.695000,1.295000,0.315000,13.230000,13.953750,20.750000,18.066250,-7.520000,-4.112500,15.445000,2.140000,0.320000,12.130000,12.683750,23.040000,18.846250,-10.910000,-6.162500,15.615000,1.605000,0.325000,13.003750,13.577500,21.436250,18.302500,-8.432500,-4.725000,15.505000,1.825000,0.320000,12.562500,13.115000,22.097500,18.535000,-9.535000,-5.420000
2008-08-25,16.050000,1.225000,0.292500,13.706250,14.403750,20.843750,18.281250,-7.137500,-3.877500,15.465000,2.070000,0.280000,12.280000,12.815000,22.790000,18.675000,-10.510000,-5.860000,15.605000,1.530000,0.295000,13.108750,13.671250,21.161250,18.128750,-8.052500,-4.457500,15.520000,1.755000,0.290000,12.696250,13.252500,21.853750,18.367500,-9.157500,-5.115000
2008-08-26,16.555000,1.595000,0.465000,14.470000,15.026250,21.830000,19.013750,-7.360000,-3.987500,15.730000,2.715000,0.495000,12.667500,13.045000,24.222500,19.405000,-11.555000,-6.360000,16.085000,2.005000,0.480000,13.680000,14.161250,22.500000,18.968750,-8.820000,-4.807500,15.835000,2.220000,0.485000,13.065000,13.582500,23.045000,19.057500,-9.980000,-5.475000
